Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DemoTSP,Chrome 100.0.4896.88,,,4/16/2022 10:45,4/16/2022 11:05,19m - 38.325s,FAILED
,,,,,,,
Test Cases/TestCase01,Chrome 100.0.4896.88,,,4/16/2022 10:45,4/16/2022 10:46,34.267s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,4/16/2022 10:45,4/16/2022 10:45,3.392s,PASSED
"navigateToUrl(""https://tiki.vn/"")",Chrome 100.0.4896.88,,,4/16/2022 10:45,4/16/2022 10:45,2.590s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Mua hng online gi tt, hng chun,_f1f5b0/div_Nh Ca""))",Chrome 100.0.4896.88,,,4/16/2022 10:45,4/16/2022 10:45,1.534s,PASSED
"click(findTestObject(""Object Repository/Page_Mua online Nh Ca - i Sng gi cc tt  Tiki/a_dng v thit b nh tm""))",Chrome 100.0.4896.88,,,4/16/2022 10:45,4/16/2022 10:45,2.577s,PASSED
"click(findTestObject(""Object Repository/Page_Mua online  dng v thit b nh tm gi cc tt  Tiki/img_Gi cao_WebpImg__StyledImg-sc-h3ozu8-0 fWjUGo""))",Chrome 100.0.4896.88,,,4/16/2022 10:45,4/16/2022 10:45,7.121s,PASSED
"click(findTestObject(""Object Repository/Page_K TREO QUN O CHNG G  giy c th tho ri G_328f07/span_Trang ch""))",Chrome 100.0.4896.88,,,4/16/2022 10:45,4/16/2022 10:45,1.519s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Mua hng online gi tt, hng chun,_f1f5b0/div_Gia Dng""))",Chrome 100.0.4896.88,,,4/16/2022 10:45,4/16/2022 10:46,4.070s,PASSED
"click(findTestObject(""Object Repository/Page_Mua online in Gia Dng gi cc tt  Tiki/img_Ni bn_icon-check-off""))",Chrome 100.0.4896.88,,,4/16/2022 10:46,4/16/2022 10:46,9.981s,PASSED
closeBrowser(),Chrome 100.0.4896.88,,,4/16/2022 10:46,4/16/2022 10:46,0.883s,PASSED
,,,,,,,
Test Cases/TestCase02,Chrome 100.0.4896.88,,,4/16/2022 10:46,4/16/2022 10:46,20.724s,FAILED
"openBrowser("""")",Chrome 100.0.4896.88,,,4/16/2022 10:46,4/16/2022 10:46,1.475s,PASSED
"navigateToUrl(""https://tiki.vn/"")",Chrome 100.0.4896.88,,,4/16/2022 10:46,4/16/2022 10:46,2.785s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Mua hng online gi tt, hng chun,_f1f5b0/div_Tht, Rau C""))",Chrome 100.0.4896.88,,,4/16/2022 10:46,4/16/2022 10:46,2.958s,PASSED
"click(findTestObject(""Object Repository/Page_Mua rau c sch online, tht c, thc phm g_af6b2d/img_Va m bn_WebpImg__StyledImg-sc-h3ozu8-0 fWjUGo""))",Chrome 100.0.4896.88,,,4/16/2022 10:46,4/16/2022 10:46,1.505s,PASSED
"click(findTestObject(""Object Repository/Page_Rau c, tht c, hi sn. khuyn mi sc bn ti_2ca85b/img_Va m bn_WebpImg__StyledImg-sc-h3ozu8-0 fWjUGo""))",Chrome 100.0.4896.88,,,4/16/2022 10:46,4/16/2022 10:46,1.332s,PASSED
"click(findTestObject(""Object Repository/Page_Xoi Ct Ho Lc Vietgap VAS V 2 Tri (800-_69f71c/a_Du n, gia v""))",Chrome 100.0.4896.88,,,4/16/2022 10:46,4/16/2022 10:46,3.687s,PASSED
"click(findTestObject(""Object Repository/Page_Xoi Ct Ho Lc Vietgap VAS V 2 Tri (800-_69f71c/span_0""))",Chrome 100.0.4896.88,,,4/16/2022 10:46,4/16/2022 10:46,1.769s,PASSED
"click(findTestObject(""Object Repository/Page_Xoi Ct Ho Lc Vietgap VAS V 2 Tri (800-_69f71c/img_bn 32_WebpImg__StyledImg-sc-h3ozu8-0 fWjUGo""))",Chrome 100.0.4896.88,,,4/16/2022 10:46,4/16/2022 10:46,0.471s,PASSED
"click(findTestObject(""Object Repository/Page_Xoi Ct Ho Lc Vietgap VAS V 2 Tri (800-_69f71c/div_Thm""))",Chrome 100.0.4896.88,,,4/16/2022 10:46,4/16/2022 10:46,1.412s,PASSED
"click(findTestObject(""Object Repository/Page_Xoi Ct Ho Lc Vietgap VAS V 2 Tri (800-_69f71c/img_Bnh lun_close-img""))",Chrome 100.0.4896.88,,,4/16/2022 10:46,4/16/2022 10:46,1.486s,PASSED
"click(findTestObject(""Object Repository/Page_Xoi Ct Ho Lc Vietgap VAS V 2 Tri (800-_69f71c/span_48.000""))",Chrome 100.0.4896.88,,,4/16/2022 10:46,4/16/2022 10:46,0.519s,PASSED
"click(findTestObject(""Object Repository/Page_Xoi Ct Ho Lc Vietgap VAS V 2 Tri (800-_69f71c/div_ng Phn Vng Thin Nhin 500g(Xem 2 nh gi) _92aa19""))",Chrome 100.0.4896.88,,,4/16/2022 10:46,4/16/2022 10:46,0.877s,FAILED
,,,,,,,
Test Cases/TestCase03,Chrome 100.0.4896.88,,,4/16/2022 10:46,4/16/2022 10:47,1m - 5.389s,FAILED
"openBrowser("""")",Chrome 100.0.4896.88,,,4/16/2022 10:46,4/16/2022 10:46,2.002s,PASSED
"navigateToUrl(""https://tiki.vn/"")",Chrome 100.0.4896.88,,,4/16/2022 10:46,4/16/2022 10:46,2.773s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Mua hng online gi tt, hng chun,_f1f5b0/img_Balo_WebpImg__StyledImg-sc-h3ozu8-0 fWj_3cc210""))",Chrome 100.0.4896.88,,,4/16/2022 10:46,4/16/2022 10:46,11.657s,PASSED
"click(findTestObject(""Object Repository/Page_Mua online Sch t duy - K nng sng gi cc_744e37/span_Sch k nng sng""))",Chrome 100.0.4896.88,,,4/16/2022 10:46,4/16/2022 10:47,10.496s,PASSED
"click(findTestObject(""Object Repository/Page_Mua online Sch k nng sng gi cc tt  Tiki/span_Nh Sch Tiki""))",Chrome 100.0.4896.88,,,4/16/2022 10:47,4/16/2022 10:47,1.971s,PASSED
"click(findTestObject(""Object Repository/Page_Mua online Nh Sch Tiki gi cc tt  Tiki/img_bn 943_WebpImg__StyledImg-sc-h3ozu8-0 fWjUGo""))",Chrome 100.0.4896.88,,,4/16/2022 10:47,4/16/2022 10:47,1.606s,PASSED
"click(findTestObject(""Object Repository/Page_Tm L Hc - Phc Ha Chn Dung K Phm Ti  Nh_7a4a96/img_bn 3_WebpImg__StyledImg-sc-h3ozu8-0 fWjUGo""))",Chrome 100.0.4896.88,,,4/16/2022 10:47,4/16/2022 10:47,1.326s,PASSED
"click(findTestObject(""Object Repository/Page_Ch sa nhm cy - Ti sao nhng g ta bit v _6b564a/img_bn 484_styles__StyledDynamicIconBadge-s_423399""))",Chrome 100.0.4896.88,,,4/16/2022 10:47,4/16/2022 10:47,1.376s,PASSED
"click(findTestObject(""Object Repository/Page_Trm lng - Sc mnh tim n ca ngi hng ni  _4188ce/p_Kh 14x20 cm""))",Chrome 100.0.4896.88,,,4/16/2022 10:47,4/16/2022 10:47,31.465s,FAILED
,,,,,,,
Test Cases/TestCase04,Chrome 100.0.4896.88,,,4/16/2022 10:47,4/16/2022 10:48,38.092s,FAILED
"openBrowser("""")",Chrome 100.0.4896.88,,,4/16/2022 10:47,4/16/2022 10:47,1.894s,PASSED
"navigateToUrl(""https://tiki.vn/"")",Chrome 100.0.4896.88,,,4/16/2022 10:47,4/16/2022 10:47,1.553s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Mua hng online gi tt, hng chun,_f1f5b0/img_Gng Tay Tm Bath Gloves Ty Da Cht Cho Da_a4f02c""))",Chrome 100.0.4896.88,,,4/16/2022 10:47,4/16/2022 10:47,1.275s,PASSED
"click(findTestObject(""Object Repository/Page_in Thoi iPhone 13 128GB - Hng Chnh Hng_786a74/a_note 20 ultra""))",Chrome 100.0.4896.88,,,4/16/2022 10:47,4/16/2022 10:47,1.452s,PASSED
"click(findTestObject(""Object Repository/Page_Note 20 Ultra gi siu tt - Thng 4, 2022  Tiki/a_in thoi Smartphone""))",Chrome 100.0.4896.88,,,4/16/2022 10:47,4/16/2022 10:48,31.435s,FAILED
,,,,,,,
Test Cases/TestCase05,Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:48,19.955s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:48,1.966s,PASSED
"navigateToUrl(""https://tiki.vn/"")",Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:48,2.799s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Mua hng online gi tt, hng chun,_f1f5b0/img_bn 4_WebpImg__StyledImg-sc-h3ozu8-0 fWj_e8abfb""))",Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:48,1.804s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Lch S Kin Thng 4  Tiki/input_Tm Kim_FormSearch__Input-sc-1fwg3wo-2 gBxvSE""))",Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:48,0.512s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Lch S Kin Thng 4  Tiki/div_qut cm tay""))",Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:48,0.655s,PASSED
"click(findTestObject(""Object Repository/Page_Qut Cm Tay gi siu tt - Thng 4, 2022  Tiki/span_Trang ch""))",Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:48,4.272s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Mua hng online gi tt, hng chun,_f1f5b0/div_in Thoi""))",Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:48,2.250s,PASSED
"click(findTestObject(""Object Repository/Page_Mua online in Thoi - My Tnh Bng gi cc _d5c84c/a_My c sch""))",Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:48,2.557s,PASSED
"click(findTestObject(""Object Repository/Page_Mua online My c sch gi cc tt  Tiki/span_in Thoi - My Tnh Bng""))",Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:48,1.904s,PASSED
closeBrowser(),Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:48,0.791s,PASSED
,,,,,,,
Test Cases/TestCase06,Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:49,48.691s,FAILED
"openBrowser("""")",Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:48,1.260s,PASSED
"navigateToUrl(""https://tiki.vn/"")",Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:48,2.361s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Mua hng online gi tt, hng chun,_f1f5b0/div_Gia Dng""))",Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:48,0.726s,PASSED
"click(findTestObject(""Object Repository/Page_Mua online in Gia Dng gi cc tt  Tiki/a_Trang ch""))",Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:48,2.145s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Mua hng online gi tt, hng chun,_f1f5b0/div_Bch Ha""))",Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:48,2.839s,PASSED
"click(findTestObject(""Object Repository/Page_Mua online Bch Ha Online gi cc tt  Tiki/span_Trang ch""))",Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:48,1.957s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Mua hng online gi tt, hng chun,_f1f5b0/div_in T""))",Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:48,1.446s,PASSED
"click(findTestObject(""Object Repository/Page_Mua online in T - in Lnh gi cc tt  Tiki/span_Trang ch""))",Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:48,1.940s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Mua hng online gi tt, hng chun,_f1f5b0/div_Tht, Rau C""))",Chrome 100.0.4896.88,,,4/16/2022 10:48,4/16/2022 10:49,33.533s,FAILED
,,,,,,,
Test Cases/TestCase07,Chrome 100.0.4896.88,,,4/16/2022 10:49,4/16/2022 10:50,39.051s,FAILED
"openBrowser("""")",Chrome 100.0.4896.88,,,4/16/2022 10:49,4/16/2022 10:49,2.037s,PASSED
"navigateToUrl(""https://tiki.vn/"")",Chrome 100.0.4896.88,,,4/16/2022 10:49,4/16/2022 10:49,2.184s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Mua hng online gi tt, hng chun,_f1f5b0/img_i ch online_WebpImg__StyledImg-sc-h3ozu_533ea7""))",Chrome 100.0.4896.88,,,4/16/2022 10:49,4/16/2022 10:49,2.874s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki Exchange/a""))",Chrome 100.0.4896.88,,,4/16/2022 10:49,4/16/2022 10:50,31.429s,FAILED
,,,,,,,
Test Cases/TestCase08,Chrome 100.0.4896.88,,,4/16/2022 10:50,4/16/2022 10:50,43.585s,FAILED
