Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Run all test case,Chrome 97.0.4692.71,,,2022-01-17 20:03:21,2022-01-17 20:37:45,34m - 24.275s,FAILED
,,,,,,,
Test Cases/40.FeedBack,Chrome 97.0.4692.71,,,2022-01-17 20:03:21,2022-01-17 20:04:08,46.811s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 20:03:22,2022-01-17 20:03:25,3.163s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 97.0.4692.71,,,2022-01-17 20:03:25,2022-01-17 20:03:29,3.921s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Sign In""))",Chrome 97.0.4692.71,,,2022-01-17 20:03:29,2022-01-17 20:03:32,2.997s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Sign in with_username""), ""ptnha19"")",Chrome 97.0.4692.71,,,2022-01-17 20:03:32,2022-01-17 20:03:35,3.260s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Username_password""), ""5R3Ima4A+eOeCrCDRGMLmJpaGR3V3+YI"")",Chrome 97.0.4692.71,,,2022-01-17 20:03:35,2022-01-17 20:03:38,2.380s,PASSED
"click(findTestObject(""Object Repository/Page_Element/input_Forgot password_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-17 20:03:38,2022-01-17 20:03:39,1.161s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Verify with Security Key""))",Chrome 97.0.4692.71,,,2022-01-17 20:03:39,2022-01-17 20:03:45,6.337s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Security Key_mx_Field_4""), ""PF4jXtbe/5x5+S5PgN4Kl/QbANAkWZYKqKaG9gW6gn+Po31AOnak0DX8GoEzAUkskgpeON1UhfEqZG0XXngJPA=="")",Chrome 97.0.4692.71,,,2022-01-17 20:03:45,2022-01-17 20:03:48,2.771s,PASSED
