Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Run all test cases,Chrome 97.0.4692.71,,,1/17/2022 18:53,1/17/2022 20:22,1h - 29m - 50.941s,PASSED
,,,,,,,
Test Cases/Chat/Chat starred,Chrome 97.0.4692.71,,,1/17/2022 18:53,1/17/2022 18:55,2m - 48.299s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,1/17/2022 18:53,1/17/2022 18:53,3.512s,PASSED
"navigateToUrl(""http://localhost/"")",Chrome 97.0.4692.71,,,1/17/2022 18:53,1/17/2022 18:53,1.833s,PASSED
"click(findTestObject(""Object Repository/Page_L Tm Anh/a_Log in""))",Chrome 97.0.4692.71,,,1/17/2022 18:53,1/17/2022 18:53,0.709s,PASSED
"setText(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/input_Username_username""), ""anhle1"")",Chrome 97.0.4692.71,,,1/17/2022 18:53,1/17/2022 18:53,0.823s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/input_Password_password""), ""eGmz8XUbrLe3vUQiiiujBg=="")",Chrome 97.0.4692.71,,,1/17/2022 18:53,1/17/2022 18:53,0.443s,PASSED
"click(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/button_Log in""))",Chrome 97.0.4692.71,,,1/17/2022 18:53,1/17/2022 18:53,1.921s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/a_0""))",Chrome 97.0.4692.71,,,1/17/2022 18:53,1/17/2022 18:53,31.727s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/div_L CDE""))",Chrome 97.0.4692.71,,,1/17/2022 18:53,1/17/2022 18:54,31.465s,PASSED
"setText(findTestObject(""Object Repository/Page_Dashboard/textarea_Use enter to send_yui_3_17_2_1_164_f30280""), ""alo"")",Chrome 97.0.4692.71,,,1/17/2022 18:54,1/17/2022 18:55,1m - 3.306s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/button__btn btn-link btn-icon icon-size-3 m_754a09""))",Chrome 97.0.4692.71,,,1/17/2022 18:55,1/17/2022 18:55,31.436s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,1/17/2022 18:55,1/17/2022 18:55,0.710s,PASSED
,,,,,,,
Test Cases/Chat/Chat with group,Chrome 97.0.4692.71,,,1/17/2022 18:55,1/17/2022 18:58,2m - 46.637s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,1/17/2022 18:55,1/17/2022 18:55,1.349s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,1/17/2022 18:55,1/17/2022 18:55,0.692s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,1/17/2022 18:55,1/17/2022 18:55,1.225s,PASSED
"navigateToUrl(""http://localhost/"")",Chrome 97.0.4692.71,,,1/17/2022 18:55,1/17/2022 18:55,0.661s,PASSED
"click(findTestObject(""Object Repository/Page_L Tm Anh/a_Log in""))",Chrome 97.0.4692.71,,,1/17/2022 18:55,1/17/2022 18:55,0.632s,PASSED
"setText(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/input_Username_username""), ""admin"")",Chrome 97.0.4692.71,,,1/17/2022 18:55,1/17/2022 18:55,0.788s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/input_Password_password""), ""eGmz8XUbrLe3vUQiiiujBg=="")",Chrome 97.0.4692.71,,,1/17/2022 18:55,1/17/2022 18:55,0.432s,PASSED
"click(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/button_Log in""))",Chrome 97.0.4692.71,,,1/17/2022 18:55,1/17/2022 18:56,1.377s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/a_0""))",Chrome 97.0.4692.71,,,1/17/2022 18:56,1/17/2022 18:56,31.767s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/div_Team 1""))",Chrome 97.0.4692.71,,,1/17/2022 18:56,1/17/2022 18:57,31.661s,PASSED
"setText(findTestObject(""Object Repository/Page_Dashboard/textarea_Use enter to send_yui_3_17_2_1_164_167f3b""), ""hello"")",Chrome 97.0.4692.71,,,1/17/2022 18:57,1/17/2022 18:58,1m - 3.487s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/i__icon fa fa-paper-plane fa-fw""))",Chrome 97.0.4692.71,,,1/17/2022 18:58,1/17/2022 18:58,31.518s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,1/17/2022 18:58,1/17/2022 18:58,0.750s,PASSED
,,,,,,,
Test Cases/Chat/Chat private,Chrome 97.0.4692.71,,,1/17/2022 18:58,1/17/2022 19:01,2m - 46.135s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,1/17/2022 18:58,1/17/2022 18:58,1.153s,PASSED
"navigateToUrl(""http://localhost/"")",Chrome 97.0.4692.71,,,1/17/2022 18:58,1/17/2022 18:58,0.510s,PASSED
"click(findTestObject(""Object Repository/Page_L Tm Anh/a_Log in""))",Chrome 97.0.4692.71,,,1/17/2022 18:58,1/17/2022 18:58,0.684s,PASSED
"setText(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/input_Username_username""), ""admin"")",Chrome 97.0.4692.71,,,1/17/2022 18:58,1/17/2022 18:58,0.825s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/input_Password_password""), ""eGmz8XUbrLe3vUQiiiujBg=="")",Chrome 97.0.4692.71,,,1/17/2022 18:58,1/17/2022 18:58,0.400s,PASSED
"click(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/button_Log in""))",Chrome 97.0.4692.71,,,1/17/2022 18:58,1/17/2022 18:58,2.728s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/a_0""))",Chrome 97.0.4692.71,,,1/17/2022 18:58,1/17/2022 18:59,31.486s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/i_hello_icon fa fa-caret-right fa-fw""))",Chrome 97.0.4692.71,,,1/17/2022 18:59,1/17/2022 18:59,0.828s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/div_Student Two""))",Chrome 97.0.4692.71,,,1/17/2022 18:59,1/17/2022 18:59,31.479s,PASSED
"setText(findTestObject(""Object Repository/Page_Dashboard/textarea_Use enter to send_yui_3_17_2_1_164_1c2d5d""), ""alo"")",Chrome 97.0.4692.71,,,1/17/2022 18:59,1/17/2022 19:00,1m - 3.412s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/i__icon fa fa-paper-plane fa-fw""))",Chrome 97.0.4692.71,,,1/17/2022 19:00,1/17/2022 19:01,31.488s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,1/17/2022 19:01,1/17/2022 19:01,0.837s,PASSED
,,,,,,,
Test Cases/Chat/Search user and chat,Chrome 97.0.4692.71,,,1/17/2022 19:01,1/17/2022 19:04,3m - 17.745s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,1/17/2022 19:01,1/17/2022 19:01,1.502s,PASSED
"navigateToUrl(""http://localhost/"")",Chrome 97.0.4692.71,,,1/17/2022 19:01,1/17/2022 19:01,0.704s,PASSED
"click(findTestObject(""Object Repository/Page_L Tm Anh/a_Log in""))",Chrome 97.0.4692.71,,,1/17/2022 19:01,1/17/2022 19:01,0.625s,PASSED
"setText(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/input_Username_username""), ""admin"")",Chrome 97.0.4692.71,,,1/17/2022 19:01,1/17/2022 19:01,0.807s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/input_Password_password""), ""eGmz8XUbrLe3vUQiiiujBg=="")",Chrome 97.0.4692.71,,,1/17/2022 19:01,1/17/2022 19:01,0.409s,PASSED
"click(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/button_Log in""))",Chrome 97.0.4692.71,,,1/17/2022 19:01,1/17/2022 19:01,1.449s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/i_See all_icon fa fa-comment-o fa-fw""))",Chrome 97.0.4692.71,,,1/17/2022 19:01,1/17/2022 19:02,31.473s,PASSED
"setText(findTestObject(""Object Repository/Page_Dashboard/input_Messages selected_form-control""), ""Anh Le"")",Chrome 97.0.4692.71,,,1/17/2022 19:02,1/17/2022 19:02,1.425s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/i_Messages selected_icon fa fa-search fa-fw""))",Chrome 97.0.4692.71,,,1/17/2022 19:02,1/17/2022 19:02,31.645s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/a_Anh Lee""))",Chrome 97.0.4692.71,,,1/17/2022 19:02,1/17/2022 19:03,31.608s,PASSED
"setText(findTestObject(""Object Repository/Page_Dashboard/textarea_Use enter to send_yui_3_17_2_1_164_9e4947""), ""kk"")",Chrome 97.0.4692.71,,,1/17/2022 19:03,1/17/2022 19:04,1m - 3.028s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/i__icon fa fa-paper-plane fa-fw""))",Chrome 97.0.4692.71,,,1/17/2022 19:04,1/17/2022 19:04,31.684s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,1/17/2022 19:04,1/17/2022 19:04,1.089s,PASSED
,,,,,,,
Test Cases/Chat/Add contact,Chrome 97.0.4692.71,,,1/17/2022 19:04,1/17/2022 19:06,1m - 16.515s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,1/17/2022 19:04,1/17/2022 19:04,1.903s,PASSED
"navigateToUrl(""http://localhost/"")",Chrome 97.0.4692.71,,,1/17/2022 19:04,1/17/2022 19:04,1.569s,PASSED
"click(findTestObject(""Object Repository/Page_L Tm Anh/a_Log in""))",Chrome 97.0.4692.71,,,1/17/2022 19:04,1/17/2022 19:04,0.867s,PASSED
"setText(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/input_Username_username""), ""admin"")",Chrome 97.0.4692.71,,,1/17/2022 19:04,1/17/2022 19:04,0.810s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/input_Password_password""), ""eGmz8XUbrLe3vUQiiiujBg=="")",Chrome 97.0.4692.71,,,1/17/2022 19:04,1/17/2022 19:04,0.399s,PASSED
"click(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/button_Log in""))",Chrome 97.0.4692.71,,,1/17/2022 19:04,1/17/2022 19:04,1.435s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/a_0""))",Chrome 97.0.4692.71,,,1/17/2022 19:04,1/17/2022 19:05,31.511s,PASSED
"setText(findTestObject(""Object Repository/Page_Dashboard/input_Messages selected_form-control""), ""Anh Lee"")",Chrome 97.0.4692.71,,,1/17/2022 19:05,1/17/2022 19:05,1.327s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/button_Messages selected_btn btn-submit ico_2a7788""))",Chrome 97.0.4692.71,,,1/17/2022 19:05,1/17/2022 19:05,0.637s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/a_Anh Lee""))",Chrome 97.0.4692.71,,,1/17/2022 19:05,1/17/2022 19:05,31.577s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/i_Anh Lee_icon fa fa-ellipsis-h fa-fw""))",Chrome 97.0.4692.71,,,1/17/2022 19:05,1/17/2022 19:05,1.465s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/a_User info""))",Chrome 97.0.4692.71,,,1/17/2022 19:05,1/17/2022 19:05,0.557s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/button_Add to contacts""))",Chrome 97.0.4692.71,,,1/17/2022 19:05,1/17/2022 19:05,0.655s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/button_Add""))",Chrome 97.0.4692.71,,,1/17/2022 19:05,1/17/2022 19:05,0.581s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,1/17/2022 19:05,1/17/2022 19:06,0.922s,PASSED
,,,,,,,
Test Cases/Chat/Accept contact,Chrome 97.0.4692.71,,,1/17/2022 19:06,1/17/2022 19:08,2m - 46.015s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,1/17/2022 19:06,1/17/2022 19:06,1.360s,PASSED
"navigateToUrl(""http://localhost/"")",Chrome 97.0.4692.71,,,1/17/2022 19:06,1/17/2022 19:06,0.734s,PASSED
"click(findTestObject(""Object Repository/Page_L Tm Anh/a_Log in""))",Chrome 97.0.4692.71,,,1/17/2022 19:06,1/17/2022 19:06,0.735s,PASSED
"setText(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/input_Username_username""), ""admin3"")",Chrome 97.0.4692.71,,,1/17/2022 19:06,1/17/2022 19:06,0.819s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/input_Password_password""), ""eGmz8XUbrLe3vUQiiiujBg=="")",Chrome 97.0.4692.71,,,1/17/2022 19:06,1/17/2022 19:06,0.410s,PASSED
"click(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/button_Log in""))",Chrome 97.0.4692.71,,,1/17/2022 19:06,1/17/2022 19:06,2.065s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/i_See all_icon fa fa-comment-o fa-fw""))",Chrome 97.0.4692.71,,,1/17/2022 19:06,1/17/2022 19:06,31.665s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/a_Contacts                                 _4239a2""))",Chrome 97.0.4692.71,,,1/17/2022 19:06,1/17/2022 19:07,31.578s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/a_Requests                                 _76dac8""))",Chrome 97.0.4692.71,,,1/17/2022 19:07,1/17/2022 19:07,31.716s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/p_Would like to contact you""))",Chrome 97.0.4692.71,,,1/17/2022 19:07,1/17/2022 19:08,31.697s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/span_Accept and add to contacts""))",Chrome 97.0.4692.71,,,1/17/2022 19:08,1/17/2022 19:08,32.227s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,1/17/2022 19:08,1/17/2022 19:08,0.710s,PASSED
,,,,,,,
Test Cases/Chat/Remove a contact,Chrome 97.0.4692.71,,,1/17/2022 19:08,1/17/2022 19:10,1m - 44.953s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,1/17/2022 19:08,1/17/2022 19:08,1.316s,PASSED
"navigateToUrl(""http://localhost/"")",Chrome 97.0.4692.71,,,1/17/2022 19:08,1/17/2022 19:08,0.743s,PASSED
"click(findTestObject(""Object Repository/Page_L Tm Anh/a_Log in""))",Chrome 97.0.4692.71,,,1/17/2022 19:08,1/17/2022 19:08,0.643s,PASSED
"setText(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/input_Username_username""), ""admin"")",Chrome 97.0.4692.71,,,1/17/2022 19:08,1/17/2022 19:08,0.820s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/input_Password_password""), ""eGmz8XUbrLe3vUQiiiujBg=="")",Chrome 97.0.4692.71,,,1/17/2022 19:08,1/17/2022 19:08,0.440s,PASSED
"click(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/button_Log in""))",Chrome 97.0.4692.71,,,1/17/2022 19:08,1/17/2022 19:08,1.767s,PASSED
