Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Runalltestcases,Firefox 71.0,,,2019-12-22 04:29:03,2019-12-22 04:56:38,28m - 1655.48s,PASSED
,,,,,,,
Test Cases/Account_setting/edit_email,Firefox 71.0,,,2019-12-22 04:29:04,2019-12-22 04:29:30,26.733s,PASSED
openBrowser(""),Firefox 71.0,,,2019-12-22 04:29:04,,,PASSED
navigateToUrl("https://automating-test.herokuapp.com/"),Firefox 71.0,,,2019-12-22 04:29:12,,,PASSED
setText(findTestObject("Page_Mattermost/input_All team communication in one place s_703ef5"), "test1"),Firefox 71.0,,,2019-12-22 04:29:17,,,PASSED
setEncryptedText(findTestObject("Page_Mattermost/input_All team communication in one place s_2f2733"), "oagVfJEzz+A="),Firefox 71.0,,,2019-12-22 04:29:21,,,PASSED
click(findTestObject("Page_Mattermost/span_Sign in")),Firefox 71.0,,,2019-12-22 04:29:21,,,PASSED
click(findTestObject("Object Repository/create_channel/Page_Town Square - khoa1 Mattermost/span")),Firefox 71.0,,,2019-12-22 04:29:22,,,PASSED
click(findTestObject("Object Repository/create_channel/Page_Town Square - khoa1 Mattermost/button_Account Settings")),Firefox 71.0,,,2019-12-22 04:29:26,,,PASSED
click(findTestObject("Object Repository/create_channel/Page_Town Square - khoa1 Mattermost/span_Edit")),Firefox 71.0,,,2019-12-22 04:29:27,,,PASSED
setText(findTestObject("Object Repository/create_channel/Page_Town Square - khoa1 Mattermost/input_New Email_primaryEmail"), "phucminh@gmail.com"),Firefox 71.0,,,2019-12-22 04:29:27,,,PASSED
setText(findTestObject("Object Repository/create_channel/Page_Town Square - khoa1 Mattermost/input_Confirm Email_confirmEmail"), "phucminh@gmail.com"),Firefox 71.0,,,2019-12-22 04:29:28,,,PASSED
setEncryptedText(findTestObject("Object Repository/create_channel/Page_Town Square - khoa1 Mattermost/input_Current Password_currentPassword"), "oagVfJEzz+A="),Firefox 71.0,,,2019-12-22 04:29:28,,,PASSED
click(findTestObject("Object Repository/create_channel/Page_Town Square - khoa1 Mattermost/span_Save")),Firefox 71.0,,,2019-12-22 04:29:29,,,PASSED
click(findTestObject("Page_Town Square - khoa1 Mattermost/span_")),Firefox 71.0,,,2019-12-22 04:29:30,,,PASSED
,,,,,,,
Test Cases/Account_setting/edit_email_fail,Firefox 71.0,,,2019-12-22 04:29:31,2019-12-22 04:29:55,24.139s,PASSED
openBrowser(""),Firefox 71.0,,,2019-12-22 04:29:31,,,PASSED
navigateToUrl("https://automating-test.herokuapp.com/"),Firefox 71.0,,,2019-12-22 04:29:36,,,PASSED
setText(findTestObject("Page_Mattermost/input_All team communication in one place s_703ef5"), "test1"),Firefox 71.0,,,2019-12-22 04:29:40,,,PASSED
setEncryptedText(findTestObject("Page_Mattermost/input_All team communication in one place s_2f2733"), "oagVfJEzz+A="),Firefox 71.0,,,2019-12-22 04:29:44,,,PASSED
sendKeys(findTestObject("Page_Mattermost/input_All team communication in one place s_2f2733"), Keys.chord(ENTER)),Firefox 71.0,,,2019-12-22 04:29:45,,,PASSED
click(findTestObject("Page_Town Square - khoa1 Mattermost/button_test1_style--none sidebar-header-dro_5fcea2")),Firefox 71.0,,,2019-12-22 04:29:45,,,PASSED
click(findTestObject("Page_Town Square - khoa1 Mattermost/button_Account Settings")),Firefox 71.0,,,2019-12-22 04:29:49,,,PASSED
click(findTestObject("Object Repository/Page_Town Square - khoa1 Mattermost/div_phucminhgmailcom")),Firefox 71.0,,,2019-12-22 04:29:50,,,PASSED
setText(findTestObject("Page_Town Square - khoa1 Mattermost/input_New Email_primaryEmail"), "khoa@gmail.com"),Firefox 71.0,,,2019-12-22 04:29:52,,,PASSED
setText(findTestObject("Page_Town Square - khoa1 Mattermost/input_Confirm Email_confirmEmail"), "kha@apcs.vn"),Firefox 71.0,,,2019-12-22 04:29:52,,,PASSED
setEncryptedText(findTestObject("Page_Town Square - khoa1 Mattermost/input_Current Password_currentPassword"), "oagVfJEzz+A="),Firefox 71.0,,,2019-12-22 04:29:53,,,PASSED
click(findTestObject("Page_Town Square - khoa1 Mattermost/button_Save")),Firefox 71.0,,,2019-12-22 04:29:53,,,PASSED
click(findTestObject("Page_Town Square - khoa1 Mattermost/span_")),Firefox 71.0,,,2019-12-22 04:29:54,,,PASSED
,,,,,,,
Test Cases/Account_setting/edit_email_fail_2,Firefox 71.0,,,2019-12-22 04:29:55,2019-12-22 04:30:18,23.413s,PASSED
openBrowser(""),Firefox 71.0,,,2019-12-22 04:29:55,,,PASSED
navigateToUrl("https://automating-test.herokuapp.com/"),Firefox 71.0,,,2019-12-22 04:30:00,,,PASSED
setText(findTestObject("Page_Mattermost/input_All team communication in one place s_703ef5"), "test1"),Firefox 71.0,,,2019-12-22 04:30:04,,,PASSED
setEncryptedText(findTestObject("Page_Mattermost/input_All team communication in one place s_2f2733"), "oagVfJEzz+A="),Firefox 71.0,,,2019-12-22 04:30:08,,,PASSED
click(findTestObject("Page_Mattermost/span_Sign in"), STOP_ON_FAILURE),Firefox 71.0,,,2019-12-22 04:30:09,,,PASSED
